"gene","HC1","HC2","NSES"
"SRSF10",7.8074123352807,7.12170072754468,7.38755401150917
"NIPAL3",4.44669159404492,4.10973135280164,4.04905405047373
"RCAN3",7.41614535969745,6.39857908435901,5.89882800467142
"AL445686.2",4.04312272295644,3.48082754210608,4.04905405047373
"SRRM1",8.39125351532158,7.40740855146183,7.56226029793406
"CLIC4",5.02009356627595,5.15237377129022,4.45565018125735
"RUNX3",6.66708727658494,6.39857908435901,6.75711516621442
"SYF2",7.7727289307663,7.85029573341863,8.07594860602465
"RSRP1",6.87758025613716,5.38075636542466,5.89882800467142
"TMEM50A",7.17184934789177,6.91845641928387,6.95807684073785
"MACO1",4.76169449409717,4.54624760585208,5.2520788307383
"LDLRAP1",4.44669159404492,4.10973135280164,4.04905405047373
