"gene","logFC","logCPM","F","PValue","FDR"
"MITD1",-1.57799947651242,4.95168830296237,1.67461369077495,0.195678406820594,0.73544946466037
"MAU2",1.3620909182307,5.26755275075577,1.67454385455083,0.195687734001698,0.73544946466037
"JTB",-0.743134564464923,7.5447890028092,1.67360431481217,0.195813173172859,0.73544946466037
"ATF5",-1.30316992658413,5.248312825789,1.67229315204554,0.195988351343631,0.73544946466037
"SLC41A3",-1.88512247222645,4.69634425730096,1.67086804636531,0.196178995964292,0.73544946466037
"NEK1",-1.88512247222645,4.69634425730096,1.67086804636531,0.196178995964292,0.73544946466037
"WDR44",-1.88512247222645,4.69634425730096,1.67086804636531,0.196178995964292,0.73544946466037
"ABHD17B",-1.88512247222645,4.69634425730096,1.67086804636531,0.196178995964292,0.73544946466037
"HDHD5",-1.88512247222645,4.69634425730096,1.67086804636531,0.196178995964292,0.73544946466037
"IFI44",1.54875895381819,5.108195687571,1.66917093730452,0.196406285398013,0.73544946466037
"EPSTI1",1.54875895381819,5.108195687571,1.66917093730452,0.196406285398013,0.73544946466037
"ARL6IP4",-0.730119166119358,7.66474234907841,1.66793172124662,0.196572468612252,0.73544946466037
"TOP3A",1.83115231595039,4.84566786402252,1.65719951113217,0.198018447562917,0.73544946466037
"FBXW11",1.36471383830901,5.31790760518767,1.65638595870528,0.198128583258724,0.73544946466037
"SPAG7",-0.97821310099851,5.92328743817389,1.65623941582842,0.198148430761403,0.73544946466037
"CEP350",1.0456322010496,5.81742311534395,1.65562992882738,0.198230990409564,0.73544946466037
"TMF1",0.835303572148019,6.88210392136251,1.65540111658984,0.198261996660276,0.73544946466037
"CDK5RAP3",-1.56694183683407,4.96703858975285,1.65531134471951,0.198274143549863,0.73544946466037
"RPA3",-1.56643032866865,4.95716789338309,1.65350937562181,0.19851852284265,0.73544946466037
"TMEM256",-0.951095010947347,6.03099094100493,1.65329086509317,0.19854819435714,0.73544946466037
