"Sample","ME","Group"
"GSM1692288",0.101427714580185,"Disease"
"GSM1692289",0.0328548340159088,"Disease"
"GSM1692290",-0.0170614892268874,"Disease"
"GSM1692291",-0.0264966667148802,"Disease"
"GSM1692292",-0.0290437882671426,"Disease"
"GSM1692293",-0.025678785748198,"Disease"
"GSM1692294",0.00518532184633636,"Disease"
"GSM1692295",-0.0186409307054421,"Disease"
"GSM1692296",0.0234162780140403,"Disease"
"GSM1692297",-0.00691121588969216,"Disease"
"GSM1692298",-0.00849507594188737,"Disease"
"GSM1692299",0.0215828905530278,"Disease"
"GSM1692300",-0.0116385379250124,"Disease"
